644 #trees
8;13;17;19;20;22;24;26 28
28 30
28 29
29 1
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
7;10;11;12;18;21;23;27 8;13;17;19;20;22;24;26
1 30
8;13;17;19;20;22;24;26 1
8;13;17;19;20;22;24;26 2
8;13;17;19;20;22;24;26 28
28 29
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
7;10;11;12;18;21;23;27 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 1
8;13;17;19;20;22;24;26 2
8;13;17;19;20;22;24;26 28
28 29
29 30
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
7;10;11;12;18;21;23;27 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 2
8;13;17;19;20;22;24;26 28
28 29
29 1
29 30
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
7;10;11;12;18;21;23;27 8;13;17;19;20;22;24;26
2 1
8;13;17;19;20;22;24;26 2
8;13;17;19;20;22;24;26 28
28 29
29 30
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
7;10;11;12;18;21;23;27 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 2
8;13;17;19;20;22;24;26 28
28 29
1 30
29 1
8 #edges
0 3;4
1 30
3;4 7;10;11;12;18;21;23;27
7;10;11;12;18;21;23;27 8;13;17;19;20;22;24;26
2 1
8;13;17;19;20;22;24;26 2
8;13;17;19;20;22;24;26 28
28 29
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
7;10;11;12;18;21;23;27 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 28
28 30
28 29
29 1
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
7;10;11;12;18;21;23;27 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 28
28 29
1 30
29 1
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
7;10;11;12;18;21;23;27 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 28
28 29
2 30
29 1
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
7;10;11;12;18;21;23;27 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 1
8;13;17;19;20;22;24;26 28
28 29
29 2
29 30
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
7;10;11;12;18;21;23;27 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 28
28 1
28 29
29 2
29 30
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
7;10;11;12;18;21;23;27 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 28
28 29
2 1
29 2
29 30
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
7;10;11;12;18;21;23;27 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 1
8;13;17;19;20;22;24;26 28
28 30
28 29
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
7;10;11;12;18;21;23;27 8;13;17;19;20;22;24;26
1 30
8;13;17;19;20;22;24;26 1
8;13;17;19;20;22;24;26 28
28 29
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
7;10;11;12;18;21;23;27 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 1
8;13;17;19;20;22;24;26 28
28 29
2 30
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
7;10;11;12;18;21;23;27 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 28
28 30
28 29
2 1
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
7;10;11;12;18;21;23;27 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 28
1 30
28 1
28 29
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
7;10;11;12;18;21;23;27 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 28
28 1
28 29
2 30
29 2
8 #edges
0 3;4
1 30
3;4 7;10;11;12;18;21;23;27
7;10;11;12;18;21;23;27 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 28
28 29
2 1
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
7;10;11;12;18;21;23;27 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 28
28 29
2 1
2 30
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
8;13;17;19;20;22;24;26 1
28 30
28 29
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
8;13;17;19;20;22;24;26 1
8;13;17;19;20;22;24;26 2
28 30
28 29
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
2 1
8;13;17;19;20;22;24;26 2
28 30
28 29
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
8;13;17;19;20;22;24;26 2
28 30
28 29
29 1
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
28 30
28 29
29 1
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
28 30
28 29
2 1
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
8;13;17;19;20;22;24;26 1
8;13;17;19;20;22;24;26 30
28 29
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
1 30
8;13;17;19;20;22;24;26 1
28 29
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
8;13;17;19;20;22;24;26 1
28 29
29 2
29 30
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
8;13;17;19;20;22;24;26 1
28 29
2 30
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
8;13;17;19;20;22;24;26 1
8;13;17;19;20;22;24;26 2
28 29
29 30
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
8;13;17;19;20;22;24;26 1
8;13;17;19;20;22;24;26 2
8;13;17;19;20;22;24;26 30
28 29
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
2 30
8;13;17;19;20;22;24;26 1
8;13;17;19;20;22;24;26 2
28 29
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
1 30
8;13;17;19;20;22;24;26 1
8;13;17;19;20;22;24;26 2
28 29
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
2 30
8;13;17;19;20;22;24;26 2
28 1
28 29
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
8;13;17;19;20;22;24;26 2
8;13;17;19;20;22;24;26 30
28 1
28 29
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
8;13;17;19;20;22;24;26 2
28 1
28 29
29 30
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
8;13;17;19;20;22;24;26 2
1 30
28 1
28 29
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
2 1
8;13;17;19;20;22;24;26 2
8;13;17;19;20;22;24;26 30
28 29
8 #edges
0 3;4
1 30
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
2 1
8;13;17;19;20;22;24;26 2
28 29
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
2 1
2 30
8;13;17;19;20;22;24;26 2
28 29
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
2 1
8;13;17;19;20;22;24;26 2
28 29
29 30
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
2 30
8;13;17;19;20;22;24;26 2
28 29
29 1
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
8;13;17;19;20;22;24;26 2
8;13;17;19;20;22;24;26 30
28 29
29 1
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
8;13;17;19;20;22;24;26 2
28 29
1 30
29 1
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
8;13;17;19;20;22;24;26 2
28 29
29 1
29 30
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
8;13;17;19;20;22;24;26 30
28 1
28 29
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
8;13;17;19;20;22;24;26 30
28 29
29 1
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
8;13;17;19;20;22;24;26 30
28 29
2 1
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
28 29
2 1
29 2
29 30
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
28 1
28 29
29 2
29 30
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
28 29
2 30
29 1
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
28 29
1 30
29 1
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
28 1
28 29
2 30
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
1 30
28 1
28 29
29 2
8 #edges
0 3;4
1 30
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
28 29
2 1
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
7;10;11;12;18;21;23;27 28
28 29
2 1
2 30
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
2 1
8;13;17;19;20;22;24;26 2
8;13;17;19;20;22;24;26 30
8;13;17;19;20;22;24;26 28
28 29
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 2
8;13;17;19;20;22;24;26 30
8;13;17;19;20;22;24;26 28
28 29
29 1
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 2
8;13;17;19;20;22;24;26 30
8;13;17;19;20;22;24;26 28
28 1
28 29
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 1
8;13;17;19;20;22;24;26 30
8;13;17;19;20;22;24;26 28
28 29
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 30
8;13;17;19;20;22;24;26 28
28 1
28 29
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 30
8;13;17;19;20;22;24;26 28
28 29
29 1
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 30
8;13;17;19;20;22;24;26 28
28 29
2 1
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
1 30
8;13;17;19;20;22;24;26 1
8;13;17;19;20;22;24;26 2
8;13;17;19;20;22;24;26 28
28 29
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
1 30
8;13;17;19;20;22;24;26 1
8;13;17;19;20;22;24;26 28
28 29
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 1
8;13;17;19;20;22;24;26 2
8;13;17;19;20;22;24;26 28
28 29
29 30
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
2 30
8;13;17;19;20;22;24;26 1
8;13;17;19;20;22;24;26 2
8;13;17;19;20;22;24;26 28
28 29
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 1
8;13;17;19;20;22;24;26 2
8;13;17;19;20;22;24;26 28
28 30
28 29
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 1
8;13;17;19;20;22;24;26 28
28 29
29 2
29 30
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 1
8;13;17;19;20;22;24;26 28
28 30
28 29
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 1
8;13;17;19;20;22;24;26 28
28 29
2 30
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
2 1
8;13;17;19;20;22;24;26 2
8;13;17;19;20;22;24;26 28
28 30
28 29
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
2 1
8;13;17;19;20;22;24;26 2
8;13;17;19;20;22;24;26 28
28 29
29 30
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
2 1
2 30
8;13;17;19;20;22;24;26 2
8;13;17;19;20;22;24;26 28
28 29
8 #edges
0 3;4
1 30
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
2 1
8;13;17;19;20;22;24;26 2
8;13;17;19;20;22;24;26 28
28 29
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
2 30
8;13;17;19;20;22;24;26 2
8;13;17;19;20;22;24;26 28
28 29
29 1
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
2 30
8;13;17;19;20;22;24;26 2
8;13;17;19;20;22;24;26 28
28 1
28 29
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 2
8;13;17;19;20;22;24;26 28
28 29
1 30
29 1
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 2
8;13;17;19;20;22;24;26 28
28 29
29 1
29 30
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 2
8;13;17;19;20;22;24;26 28
28 30
28 29
29 1
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 2
8;13;17;19;20;22;24;26 28
28 1
28 29
29 30
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 2
8;13;17;19;20;22;24;26 28
1 30
28 1
28 29
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 28
1 30
28 1
28 29
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 28
28 1
28 29
2 30
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 28
28 1
28 29
29 2
29 30
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 28
28 30
28 29
29 1
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 28
28 30
28 29
2 1
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 28
28 29
2 1
29 2
29 30
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 28
28 29
1 30
29 1
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 28
28 29
2 30
29 1
29 2
8 #edges
0 3;4
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 28
28 29
2 1
2 30
29 2
8 #edges
0 3;4
1 30
3;4 7;10;11;12;18;21;23;27
3;4 8;13;17;19;20;22;24;26
8;13;17;19;20;22;24;26 28
28 29
2 1
29 2
